,aclu_id,name,official_name,party,district,state,legislator_type,zeroed_district,congressional_district
405,aclu/elections-api/congress_legislator:11535,,Ed Case,Democrat,1,HI,rep,1,1501
406,aclu/elections-api/congress_legislator:618,,Lisa Blunt Rochester,Democrat,0,DE,rep,0,1000
407,aclu/elections-api/congress_legislator:534,,Aumua Amata Coleman Radewagen,Republican,0,AS,rep,0,6000
408,aclu/elections-api/congress_legislator:542,Raul M. Grijalva,Raúl M. Grijalva,Democrat,3,AZ,rep,3,403
409,aclu/elections-api/congress_legislator:535,,Andy Biggs,Republican,5,AZ,rep,5,405
410,aclu/elections-api/congress_legislator:544,,Tom O’Halleran,Democrat,1,AZ,rep,1,401
411,aclu/elections-api/congress_legislator:536,David Schweikert,David Schweikert,Republican,6,AZ,rep,6,406
412,aclu/elections-api/congress_legislator:543,,Ruben Gallego,Democrat,7,AZ,rep,7,407
413,aclu/elections-api/congress_legislator:1043,Debbie Lesko,Debbie Lesko,Republican,8,AZ,rep,8,408
414,aclu/elections-api/congress_legislator:541,Paul Gosar,Paul A. Gosar,Republican,4,AZ,rep,4,404
415,aclu/elections-api/congress_legislator:11516,,Greg Stanton,Democrat,9,AZ,rep,9,409
416,aclu/elections-api/congress_legislator:11515,Ann Kirkpatrick,Ann Kirkpatrick,Democrat,2,AZ,rep,2,402
417,aclu/elections-api/congress_legislator:874,Peter T. King,Peter T. King,Republican,2,NY,rep,2,3602
418,aclu/elections-api/congress_legislator:859,,Elise M. Stefanik,Republican,21,NY,rep,21,3621
419,aclu/elections-api/congress_legislator:853,Carolyn B. Maloney,Carolyn B. Maloney,Democrat,12,NY,rep,12,3612
420,aclu/elections-api/congress_legislator:877,,Tom Reed,Republican,23,NY,rep,23,3623
421,aclu/elections-api/congress_legislator:862,Hakeem Jeffries,Hakeem S. Jeffries,Democrat,8,NY,rep,8,3608
422,aclu/elections-api/congress_legislator:857,Daniel Donovan (New York),"Daniel M. Donovan, Jr.",Republican,11,NY,rep,11,3611
423,aclu/elections-api/congress_legislator:878,Yvette D. Clarke,Yvette D. Clarke,Democrat,9,NY,rep,9,3609
424,aclu/elections-api/congress_legislator:870,,Lee M. Zeldin,Republican,1,NY,rep,1,3601
425,aclu/elections-api/congress_legislator:872,,Nydia M. Velázquez,Democrat,7,NY,rep,7,3607
426,aclu/elections-api/congress_legislator:876,,Thomas R. Suozzi,Democrat,3,NY,rep,3,3603
427,aclu/elections-api/congress_legislator:863,,Jerrold Nadler,Democrat,10,NY,rep,10,3610
428,aclu/elections-api/congress_legislator:868,,Kathleen M. Rice,Democrat,4,NY,rep,4,3604
429,aclu/elections-api/congress_legislator:11572,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,Democrat,14,NY,rep,14,3614
430,aclu/elections-api/congress_legislator:11574,,Antonio Delgado,Democrat,19,NY,rep,19,3619
431,aclu/elections-api/congress_legislator:11576,,Max Rose,Democrat,11,NY,rep,11,3611
432,aclu/elections-api/congress_legislator:875,Sean Maloney,Sean Patrick Maloney,Democrat,18,NY,rep,18,3618
433,aclu/elections-api/congress_legislator:856,,Claudia Tenney,Republican,22,NY,rep,22,3622
434,aclu/elections-api/congress_legislator:11620,Chris Jacobs,Chris Jacobs,Republican,27,NY,rep,27,3627
435,aclu/elections-api/congress_legislator:851,,Adriano Espaillat,Democrat,13,NY,rep,13,3613
436,aclu/elections-api/congress_legislator:865,,John Katko,Republican,24,NY,rep,24,3624
437,aclu/elections-api/congress_legislator:873,,Paul Tonko,Democrat,20,NY,rep,20,3620
438,aclu/elections-api/congress_legislator:866,Jose Serrano,José E. Serrano,Democrat,15,NY,rep,15,3615
439,aclu/elections-api/congress_legislator:852,Brian Higgins,Brian Higgins,Democrat,26,NY,rep,26,3626
440,aclu/elections-api/congress_legislator:861,,Gregory W. Meeks,Democrat,5,NY,rep,5,3605
441,aclu/elections-api/congress_legislator:871,Nita Lowey,Nita M. Lowey,Democrat,17,NY,rep,17,3617
442,aclu/elections-api/congress_legislator:858,,Eliot L. Engel,Democrat,16,NY,rep,16,3616
443,aclu/elections-api/congress_legislator:860,Grace Meng,Grace Meng,Democrat,6,NY,rep,6,3606
444,aclu/elections-api/congress_legislator:867,Joseph Crowley,Joseph Crowley,Democrat,14,NY,rep,14,3614
445,aclu/elections-api/congress_legislator:11573,Anthony Brindisi,Anthony Brindisi,Democrat,22,NY,rep,22,3622
