aclu_id,official_name,party,district,state,legislator_type,congressional_district
aclu/elections-api/congress_legislator:11666,Jamaal Bowman,Democrat,16,NY,rep,3616
aclu/elections-api/congress_legislator:873,Paul Tonko,Democrat,20,NY,rep,3620
aclu/elections-api/congress_legislator:866,José E. Serrano,Democrat,15,NY,rep,3615
aclu/elections-api/congress_legislator:852,Brian Higgins,Democrat,26,NY,rep,3626
aclu/elections-api/congress_legislator:861,Gregory W. Meeks,Democrat,5,NY,rep,3605
aclu/elections-api/congress_legislator:871,Nita M. Lowey,Democrat,17,NY,rep,3617
aclu/elections-api/congress_legislator:858,Eliot L. Engel,Democrat,16,NY,rep,3616
aclu/elections-api/congress_legislator:860,Grace Meng,Democrat,6,NY,rep,3606
aclu/elections-api/congress_legislator:867,Joseph Crowley,Democrat,14,NY,rep,3614
aclu/elections-api/congress_legislator:11573,Anthony Brindisi,Democrat,22,NY,rep,3622
aclu/elections-api/congress_legislator:855,Chris Collins,Republican,27,NY,rep,3627
aclu/elections-api/congress_legislator:864,John J. Faso,Republican,19,NY,rep,3619
aclu/elections-api/congress_legislator:11575,Joseph D. Morelle,Democrat,25,NY,rep,3625
aclu/elections-api/congress_legislator:11665,Andrew R. Garbarino,Republican,2,NY,rep,3602
aclu/elections-api/congress_legislator:677,Michael K. Simpson,Republican,2,ID,rep,1602
aclu/elections-api/congress_legislator:678,Raúl R. Labrador,Republican,1,ID,rep,1601
aclu/elections-api/congress_legislator:11538,Russ Fulcher,Republican,1,ID,rep,1601
aclu/elections-api/congress_legislator:886,Marcia L. Fudge,Democrat,11,OH,rep,3911
aclu/elections-api/congress_legislator:883,James B. Renacci,Republican,16,OH,rep,3916
aclu/elections-api/congress_legislator:888,Michael R. Turner,Republican,10,OH,rep,3910
aclu/elections-api/congress_legislator:11514,Troy Balderson,Republican,12,OH,rep,3912
aclu/elections-api/congress_legislator:889,Robert E. Latta,Republican,5,OH,rep,3905
aclu/elections-api/congress_legislator:881,Brad R. Wenstrup,Republican,2,OH,rep,3902
aclu/elections-api/congress_legislator:882,David P. Joyce,Republican,14,OH,rep,3914
